"id_estacion","nombre","isla","localidad","profundidad_m","lat","lon","anyo","densidad_global_feixos_m2","fuente","prev_year","prev_density","delta_pct_yr","id_pradera","dhd_accumulated"
"1","Cala Marmacen","Mallorca","Andratx",13,39.5357,2.3768,2022,325,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,784,-19.515306122449,"1",51.209587097168
"10","Caló des Monjo","Mallorca","Calvià",11,39.5284,2.4314,2022,231,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,357,-11.7647058823529,"10",52.519588470459
"10","Caló des Monjo","Mallorca","Calvià",11,39.5284,2.4314,2023,398,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,231,72.2943722943723,"10",12.0097980499268
"10","Caló des Monjo","Mallorca","Calvià",9,39.5284,2.4314,2024,338,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,398,-15.0753768844221,"10",4.51992607116699
"13","Cala Murta","Mallorca","Pollença",8,39.9399,3.1819,2022,386,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,599,-11.8530884808013,"13",32.1096343994141
"13","Cala Murta","Mallorca","Pollença",8,39.9399,3.1819,2023,275,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,386,-28.7564766839378,"13",7.79991245269775
"13","Cala Murta","Mallorca","Pollença",8,39.9399,3.1819,2024,372,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,275,35.2727272727273,"13",2.15995955467224
"14","La Victoria","Mallorca","Alcudia",6,39.8735,3.1613,2023,547,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,800,-31.625,"14",6.4299259185791
"14","La Victoria","Mallorca","Alcudia",6,39.8735,3.1613,2024,954,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,547,74.4058500914077,"14",2.21995282173157
"15","Illa del Sec profunda","Mallorca","Calvià",18,39.4787,2.5413,2022,275,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,712,-20.4588014981273,"15",52.9995880126953
"15","Illa del Sec profunda","Mallorca","Calvià",18,39.4787,2.5413,2024,374,"Xarxa Monitoratge Posidonia - Memoria 2024",2022,275,18,"15",4.38991260528564
"16","Caló des Moro","Mallorca","Calvià",8,39.4755,2.4813,2019,639,"Xarxa Monitoratge Posidonia - Memoria 2019",2017,511,12.5244618395303,"16",0
"16","Caló des Moro","Mallorca","Calvià",8,39.4755,2.4813,2022,396,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,639,-12.6760563380282,"16",53.3495864868164
"16","Caló des Moro","Mallorca","Calvià",8,39.4755,2.4813,2024,786,"Xarxa Monitoratge Posidonia - Memoria 2022",2022,396,49.2424242424242,"16",4.41992568969727
"17","Port de Sóller","Mallorca","Sóller",14,39.7945,2.6896,2023,230,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,291,-20.9621993127148,"17",12.4798383712769
"17","Port de Sóller","Mallorca","Sóller",14,39.7945,2.6896,2024,254,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,230,10.4347826086957,"17",8.11989879608154
"18","S'Aguilot","Mallorca","Andratx",14,39.5346,2.365,2022,343,"Xarxa Monitoratge Posidonia - Memoria 2022",2017,871,-12.1239954075775,"18",51.2495880126953
"18","S'Aguilot","Mallorca","Andratx",14,39.5346,2.365,2024,460,"Xarxa Monitoratge Posidonia - Memoria 2024",2022,343,17.0553935860058,"18",5.29991912841797
"19","Illa del Sec somera","Mallorca","Calvià",10,39.4794,2.5416,2022,288,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,521,-14.9072296865003,"19",52.9995880126953
"19","Illa del Sec somera","Mallorca","Calvià",10,39.4794,2.5416,2023,369,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,288,28.125,"19",12.5798110961914
"19","Illa del Sec somera","Mallorca","Calvià",10,39.4794,2.5416,2024,528,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,369,43.0894308943089,"19",4.38991260528564
"2","Caló de la Reina","Mallorca","Llucmajor",4,39.4936,2.7386,2022,766,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,661,5.29500756429652,"2",52.2595901489258
